C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
0.2821261131,0.6429499912,0.7340406639,0.5939438448,0.3065717126,0.1979935407,0.4473858323,0.6861243344,0.0515907621,0.1002887255
0.0948399706,0.1601396789,0.78391521,0.2467105199,0.7216757899,0.5116956858,0.5096686097,0.9723303905,0.8383631818,0.6045628678
-0.4146288808,0.0939718555,0.3330981913,0.9286566869,0.4803777632,0.2904824003,0.365486488,0.1599000463,0.7210611266,0.9566861931
0.179097488,0.1938221689,0.3686269079,0.4268460768,0.855320748,0.5644963565,0.4292346879,0.9930181028,0.1386578062,0.6781069421
-0.0394083514,0.6108485235,0.0465128785,0.4168331127,0.5353133066,0.6352233226,0.1637066834,0.5395551639,0.0065206627,0.2674620269
0.9647765446,0.806417716,0.8558575516,0.9037219993,0.8929832667,0.940723937,0.2682979299,0.9854537728,0.9447717828,0.8925030215
0.3506906222,0.1348463911,0.9253170393,0.6649087006,0.8895987407,0.7965016771,0.1237556293,0.9706165693,0.5707172797,0.9401720781
0.1725541882,0.5639332649,0.3275557206,0.9975388934,0.3890206815,0.6806564664,0.9801353955,0.3907203971,0.5621619534,0.5323039502
0.5505669429,0.7408739834,0.7836301892,0.3651760215,0.2402981848,0.0728455805,0.6174602251,0.7349335519,0.6997066546,0.7230995647
0.0504455363,0.1475141986,0.655536254,0.5022525036,0.0193383696,0.3750104456,0.204266109,0.8981411737,0.4796362934,0.6683702586
0.695163984,0.7158895325,0.4264990021,0.7709245132,0.6921784817,0.9190257618,0.1858740023,0.0173300192,0.162722989,0.5941050176
0.5591130806,0.1826796256,0.7008795583,0.3533639975,0.3163877643,0.3938534752,0.6135968247,0.7904312733,0.5481914641,0.9410695562
0.3252928191,0.1407718991,0.6644273591,0.449700181,0.7756836806,0.957159377,0.4384466309,0.4983313055,0.2342904832,0.2820203141
-0.0579100811,0.2671161889,0.6359619389,0.7036148935,0.6164300444,0.1719345248,0.5662496864,0.7459721019,0.9997454675,0.0422929969
0.3694729414,0.8494086141,0.4831878375,0.0707039088,0.6213930915,0.1844662221,0.5235566878,0.8977910503,0.2551673306,0.3540178748
0.478548001,0.2508701693,0.1855897354,0.6968937231,0.2537231255,0.1658474333,0.7844538982,0.2587416246,0.4232341675,0.4896640168
1.0153260727,0.7483930359,0.4688944625,0.3952386126,0.1537777918,0.9608147146,0.8179853655,0.7903689108,0.2871997419,0.7145141014
0.5021844575,0.0086188353,0.7329752063,0.586210437,0.9039843634,0.045133496,0.3546030398,0.5096401867,0.4803854977,0.6086302665
-0.6697320174,0.7459395202,0.3803123108,0.1768240024,0.5738585027,0.2869949817,0.1170370305,0.1086777399,0.2277914417,0.3312173819
0.9054220654,0.7465460407,0.9056381929,0.834167832,0.0691616102,0.2643622803,0.2952209274,0.3453885659,0.4643963969,0.8235425958
0.4068366193,0.1205535791,0.5670850693,0.8840675593,0.3968168894,0.7343908345,0.3940346531,0.5452867017,0.9785935142,0.1305369225
-0.2017701803,0.725142711,0.1264080251,0.0782130541,0.230841934,0.7076987488,0.3522405102,0.6774136915,0.8256607243,0.7637819418
0.4482398407,0.547891625,0.723703083,0.0316843611,0.8781654473,0.3937461924,0.9434962385,0.9405185681,0.024453655,0.2144872828
0.5524786953,0.0260669773,0.0068241325,0.5304720653,0.732300686,0.8133794343,0.6484122547,0.4908723908,0.0067034086,0.1250656284
0.8413504542,0.2654945435,0.4799638887,0.1433880674,0.2353135549,0.1260078537,0.8727239924,0.9071218216,0.7650098156,0.3493387594
0.4268281771,0.2212291348,0.5863060613,0.5336606255,0.1091250451,0.8254239049,0.696168957,0.094015963,0.5437590945,0.2019440735
0.2291348993,0.8851883839,0.3103698702,0.6280553182,0.7879682668,0.7383794009,0.7987229145,0.6815650663,0.6730836413,0.395581807
-0.0597842886,0.0438318437,0.6330219248,0.7090628553,0.3335422055,0.3269602861,0.9568621277,0.7844120909,0.5583163218,0.9910081644
0.4269061585,0.1355479436,0.7139674025,0.9840377253,0.0916033044,0.0059661469,0.718849616,0.1191490683,0.4298534974,0.4004285946
0.6123591374,0.1456435331,0.2645944281,0.836627058,0.3041805727,0.3675375369,0.2355507104,0.7581877175,0.8348735525,0.4244111474
-0.1831916978,0.6336714622,0.1047824066,0.0653319665,0.6171608656,0.5115800744,0.2225410981,0.0587449933,0.5334244666,0.1973239991
0.1533928873,0.9368796355,0.4024327351,0.305734748,0.2652432208,0.5801440409,0.3966942017,0.5416310349,0.4706929234,0.7520377258
0.5059842043,0.5265001531,0.1591030549,0.6602138933,0.2842901704,0.3968824625,0.0066722277,0.9932522279,0.9997465885,0.8691640396
-0.2094098391,0.2324120417,0.316982415,0.5011572626,0.6193670416,0.1073927923,0.095028855,0.1345133867,0.1021855296,0.1732224647
0.0168022101,0.2150441092,0.8028751837,0.3137169835,0.6349678287,0.3861738325,0.4479589006,0.1924599715,0.0058695258,0.4786313844
-0.0672862402,0.8114377899,0.167581849,0.7532601229,0.577279663,0.7261309198,0.8760662951,0.2778082871,0.4265406272,0.3036485392
1.2331146298,0.166275928,0.6695141027,0.3389353213,0.0426106721,0.9545199765,0.3123949637,0.5626495864,0.0763953658,0.2738854323
-0.0651728268,0.08116178,0.7955679121,0.7239046942,0.1133873517,0.7218745957,0.3161477496,0.1046642349,0.8152627915,0.9313949803
0.298417264,0.1413871842,0.81022228,0.9306251238,0.69522469,0.6248833436,0.4746543266,0.5968743592,0.4239591421,0.6925493061
0.2086092543,0.3155546729,0.5390728849,0.1371137238,0.9463840328,0.1558751698,0.0625434763,0.9152277505,0.380479431,0.202610965
0.4076971729,0.7179490959,0.0557883466,0.5431641468,0.2293060682,0.9704850427,0.3509890307,0.6044058325,0.6410117406,0.0413979075
0.5445062867,0.6180308608,0.8395156007,0.2419188157,0.4927514609,0.6658245777,0.1850540467,0.8990309533,0.7304183668,0.0196804414
0.8940682858,0.2777890456,0.5868058444,0.5019232286,0.5868161998,0.6103578906,0.0793290107,0.9184749213,0.2486090168,0.6813802483
1.1690307938,0.9852734597,0.3806487199,0.0375268479,0.5316270658,0.7143759307,0.1629288651,0.4821012706,0.6156536762,0.1238155697
0.4811649376,0.2707187751,0.6098914017,0.6639559068,0.6364138244,0.9751904128,0.9125731878,0.2074199097,0.8619589417,0.9337365714
0.5161358315,0.9848592394,0.3093472123,0.149787934,0.3330859051,0.7565729178,0.8712640449,0.221789227,0.7040232677,0.3637296488
0.0182662194,0.4733883683,0.2180272813,0.7651894727,0.2611869622,0.8099573009,0.8186239524,0.1730634769,0.4839011756,0.1072546687
0.1408158696,0.4113751182,0.241898411,0.9527994683,0.2276700693,0.5373687773,0.8816078433,0.1357384412,0.2641011048,0.7694610951
0.2137532629,0.6473729285,0.4564557621,0.5247001433,0.3404584274,0.7079612251,0.5373423127,0.4570862813,0.8161745435,0.9715340452
0.5767982094,0.3670668876,0.6597961211,0.5383507372,0.6003902113,0.1937052072,0.3001359183,0.310761509,0.7224605962,0.7057425985
0.4943487665,0.7941369148,0.7600879424,0.2129959659,0.4180339006,0.6418735409,0.8547064584,0.2149780589,0.4422755184,0.4369976109
0.1961891119,0.9895382405,0.484988001,0.9849309318,0.4729232255,0.9527839116,0.7969382308,0.0740800162,0.9795088769,0.9758560207
0.3141004486,0.5178937604,0.4782588971,0.024459661,0.8818429263,0.6908863204,0.2830799535,0.6095850688,0.3210567245,0.9979413239
0.3329252757,0.1895709494,0.0268432428,0.93144687,0.6669726936,0.5604814739,0.7607857586,0.8580089401,0.3163540838,0.8911278425
0.6503757648,0.5798468229,0.3775916364,0.4712891244,0.4117357959,0.4445246693,0.7393005545,0.0522201214,0.601217702,0.8269024189
0.4330824699,0.3888341842,0.6830829388,0.1610129576,0.8215026909,0.6032518917,0.9899457165,0.7874079838,0.448055533,0.0726741058
0.5804906211,0.8762423687,0.2990757083,0.0876119627,0.9678124384,0.8939944677,0.8855776509,0.8367639886,0.2658822206,0.0319362635
0.350837241,0.1852894709,0.2164640199,0.017686057,0.6466811433,0.2058639234,0.6115389037,0.5579077463,0.2268996476,0.8733902245
0.1625306813,0.9435948959,0.5421986422,0.901262806,0.0787698048,0.7677576939,0.1288478391,0.407298846,0.3140472408,0.0860307103
-0.0665607887,0.9017956957,0.7206679262,0.3624610803,0.945886913,0.1891013573,0.1355596397,0.1459904106,0.0763587703,0.5153240387
0.6435589721,0.9109927041,0.8236909928,0.5034413338,0.9891812709,0.011561196,0.589824216,0.7368333011,0.9304573164,0.4709870995
0.7759582652,0.0722233836,0.5257816997,0.1009718809,0.4101768263,0.2898984685,0.5866089755,0.5465342741,0.0485731851,0.2494111886
0.1041537062,0.133314373,0.5933869111,0.6826891315,0.8803106931,0.5022480659,0.7716496899,0.6159861708,0.5641675919,0.1359163721
0.0584341634,0.5238681426,0.9097597369,0.3390441448,0.6014308004,0.0057072248,0.4238517031,0.019614014,0.5051195053,0.433163996
0.0501145326,0.6803679641,0.1327104461,0.7520257518,0.8880856299,0.6828289263,0.9386162088,0.3266023543,0.7835865052,0.0204201809
0.3606819715,0.9628053069,0.101735181,0.026524623,0.0833827854,0.6902346108,0.63054883,0.1495036464,0.5851842294,0.4624815748
0.7000425427,0.3834121877,0.775853155,0.1024922655,0.7044037188,0.9425856232,0.0072554189,0.5548088869,0.7851472335,0.0300579794
0.5065798764,0.9508724903,0.3510475867,0.6958035751,0.3544039065,0.7547123947,0.6172162323,0.4814037417,0.5628720773,0.0146121956
0.0186902054,0.2883649879,0.1089094904,0.5817077736,0.8173441555,0.5851492783,0.8452803057,0.1577442603,0.1650753659,0.9504753055
0.7084582581,0.1731476158,0.8480342936,0.078405599,0.1808703548,0.9138572892,0.8911192935,0.1649770198,0.8251892182,0.2918913208
0.2715347352,0.4985076328,0.4628124426,0.8944212147,0.7785470844,0.739887633,0.4490256338,0.7929868762,0.0082591415,0.6483428943
0.1793800864,0.6801793116,0.7152842023,0.0583374764,0.5519768762,0.9455594751,0.2691570869,0.1610227889,0.8963216006,0.5847747098
0.178192959,0.4510355558,0.0322108106,0.9286341553,0.5915789738,0.7035331894,0.3484876749,0.532583258,0.0723676946,0.9119135773
-0.1643893865,0.80001838,0.7280892492,0.4900526853,0.7808305804,0.1356429275,0.4865728657,0.3743730046,0.7673743096,0.8855767421
1.5862373981,0.4318963054,0.6504325855,0.2539973647,0.4062158157,0.8413819026,0.4827137021,0.5756598605,0.2446138098,0.6395535379
-0.0419085912,0.0546136029,0.597790542,0.8455570808,0.0955877157,0.5719333933,0.6313233225,0.981292672,0.7920695448,0.8220321916
0.2458731076,0.4406257351,0.5219835474,0.7502941292,0.1460699299,0.2378209507,0.549678441,0.5341568058,0.9965497796,0.0771764256
0.3910376099,0.2898189238,0.6797650028,0.7610953171,0.3094103371,0.494141552,0.9299513365,0.0953887216,0.8094625238,0.3862709434
0.3769581654,0.5481009025,0.9658645712,0.5874832159,0.6598034836,0.9372540691,0.7070723677,0.5626273077,0.0607783101,0.0493641684
-0.2056865369,0.3976808701,0.6077254316,0.2089061999,0.0683779292,0.6471299159,0.0576618091,0.3374680375,0.6390987009,0.8070974713
0.4441715359,0.4001577171,0.6282082242,0.4826813161,0.0913856985,0.5471610038,0.3674049104,0.730812468,0.3823369687,0.8164766698
0.9530927707,0.2365318174,0.2572256462,0.9317239291,0.5695750575,0.8150256964,0.6408476033,0.3702566693,0.0498955596,0.1517978541
0.0044674166,0.0918781016,0.3698086939,0.1444389838,0.7376542276,0.639154608,0.4669066668,0.4704591011,0.7647822871,0.341744579
-0.0828121116,0.3545243481,0.3938108734,0.7331666715,0.1628957353,0.6130288509,0.7780319657,0.7598458062,0.0722092571,0.5013764539
0.5971704563,0.932170984,0.5771529709,0.1246502554,0.9801545343,0.2512127699,0.907939894,0.9673574744,0.8227909695,0.4668356749
0.2951413454,0.8145537613,0.5457974417,0.3301478818,0.6232937943,0.0039353778,0.8041841351,0.8167337549,0.6469858107,0.6765964267
-0.3924287447,0.6253089133,0.4542809267,0.4305040492,0.4243023209,0.6001133064,0.1846584541,0.895717654,0.4836692515,0.1984447798
0.1862046401,0.1750944276,0.879493028,0.4363563963,0.1570219806,0.5992651029,0.7583539711,0.2380842875,0.0836680246,0.8110345653
0.2144766629,0.6827228361,0.6625586369,0.4032331869,0.0869093674,0.1084651216,0.4477862567,0.6127865301,0.5418989943,0.0069633241
0.2917474622,-0.1120292542,0.5447551042,0.0346662531,0.6435664212,0.5632552822,0.3428768606,0.1304793547,0.3404854797,0.591726406
0.5255978252,1.164380723,0.7790858245,0.4014810456,0.4484172206,0.4922867042,0.4915320073,0.6971366459,0.9189782655,0.9068217288
0.6383013538,0.553447817,0.1136986672,0.7804867111,0.2566541532,0.2601458954,0.2722592297,0.618819533,0.0894809212,0.8716559357
0.6166940988,0.3459406324,0.904729155,0.7313749583,0.4154891993,0.3704235762,0.5811691147,0.1238556253,0.8514642648,0.6777353632
0.0508637819,0.5845785017,0.415997387,0.6875632688,0.5419627362,0.1547678915,0.3633815895,0.5890510773,0.1943758794,0.9141790477
0.3534891843,0.2223748484,0.3228735953,0.3998659072,0.6550887683,0.8548658479,0.8379304311,0.1422467755,0.1435610251,0.2865771731
0.5617776351,0.6721336394,0.3594611071,0.2530260094,0.6929975835,0.788930621,0.4801053297,0.2313295061,0.5096693074,0.8520258979
0.1195169861,1.1317816379,0.3484937746,0.0377605902,0.8946834965,0.812462695,0.9893089703,0.1932478209,0.2569561546,0.5644280076
0.8931547965,0.2893900198,0.2108489938,0.8946523763,0.0578254005,0.7399732218,0.0356254811,0.370570505,0.0834251062,0.0002412167
0.5622971553,-0.5929752564,0.2715729611,0.1280524611,0.0564841494,0.3096294432,0.9608009353,0.319189068,0.2846035597,0.513838377
0.3411180076,0.9228018771,0.6846788283,0.6331050805,0.0013984956,0.436519941,0.0787917938,0.1288636437,0.6932252515,0.4035951818
0.978883755,0.5018391109,0.0628300791,0.6836910217,0.0060860485,0.5825774176,0.1620939025,0.729159023,0.91221407,0.4146736749
0.7535308279,0.301286658,0.7819152979,0.2827244279,0.7359351567,0.9756156026,0.2106710804,0.028900879,0.0991663819,0.7793326405
0.4406651731,0.9859999808,0.4762549143,0.9416141943,0.1392017284,0.9044215168,0.7095341155,0.8867185581,0.1445136801,0.1003103721
0.9554790317,0.1429403619,0.8410021654,0.4521859632,0.3834411301,0.0874195874,0.7779546007,0.1254852472,0.9970603119,0.7888850872
0.2697599438,1.5739605375,0.5165329686,0.5662663382,0.0931549982,0.414825193,0.2845683148,0.1506810787,0.4183557098,0.0134914811
0.0218759184,0.1472321564,0.2390024807,0.2929190481,0.7458409812,0.7307228918,0.5325857404,0.5262833712,0.0305209609,0.9456479475
0.6942925757,0.2737264526,0.4135027783,0.3554771035,0.2076852974,0.3112965796,0.8129672423,0.9693601617,0.4925375225,0.9698489131
0.6093118834,-0.050354137,0.0527010058,0.5080616918,0.7062055864,0.4578139959,0.7684285752,0.8724465433,0.3144665386,0.7984488751
0.4831347728,1.3037972377,0.364001751,0.4932923063,0.32523751,0.0744622612,0.3018025404,0.842816942,0.6020766663,0.7318169357
0.4062568846,-0.4438526177,0.0289088544,0.9574681415,0.5772196317,0.7983537696,0.4640817837,0.0072448219,0.8372716933,0.6510032034
0.5855233447,-0.4014853113,0.2671435369,0.0030099077,0.955104662,0.570623515,0.3975925293,0.5592234557,0.0593468926,0.582059964
0.9241813327,0.4947510766,0.7685283255,0.2775885358,0.8364658143,0.5697443103,0.4348537868,0.1322591264,0.3375387018,0.3311965785
0.4111090282,0.1030018013,0.5986750935,0.0522887607,0.7724960819,0.9797773355,0.2026083582,0.4916283324,0.0580857921,0.7799086398
0.8799345071,0.4303499843,0.7769399288,0.2447197572,0.6565658121,0.519939854,0.0758674194,0.4049001497,0.9280038259,0.0208035156
0.4058598918,1.3979208432,0.0031558963,0.0619005261,0.3798906484,0.9003187283,0.7955155105,0.2494263341,0.4367176163,0.6735531285
0.3752909167,0.1643503341,0.228850074,0.3151331972,0.1440969424,0.7948177807,0.252296337,0.7901424316,0.8878726159,0.0222215979
0.173883221,0.3473876942,0.3919794033,0.4097396923,0.4241002497,0.6252148869,0.7014182306,0.5320745169,0.6481608845,0.0524228404
0.7920416135,0.4681347902,0.021891298,0.4979851809,0.7650039026,0.8463009454,0.9425127395,0.3685716282,0.8309223854,0.4655744591
0.120299295,0.0132675739,0.5365399764,0.7194813357,0.6916319522,0.2390622113,0.2147038971,0.2765748975,0.9934139257,0.1764497239
0.6350982259,-0.316970398,0.1111338884,0.7819070051,0.6545811412,0.9627184867,0.6867382032,0.5004639621,0.4356879737,0.2543408356
0.6420941161,0.6067642427,0.7580800113,0.9242823144,0.053643985,0.6997394233,0.2312007925,0.8485871152,0.1504586362,0.5705579675
0.5821437608,0.8382656066,0.715501511,0.0220732483,0.3137705312,0.215857228,0.949548567,0.7330919731,0.2922447179,0.1833512292
0.3593038704,1.8479093644,0.2110047769,0.2237984412,0.9096112749,0.6191083197,0.8450434615,0.1515050309,0.2787445644,0.7731604655
0.3623809956,-0.0936092777,0.8342712471,0.9828046391,0.0853833938,0.3393591412,0.5218299312,0.0503548988,0.2644367185,0.8280373802
0.985487466,1.0874306089,0.009919824,0.7592906953,0.5984461788,0.7992748326,0.9268862508,0.7483088551,0.1286893471,0.5667094037
0.1805005501,0.6296421882,0.5028852749,0.0559452417,0.1169247795,0.6432571765,0.8096804316,0.6378546165,0.3144057087,0.9523214712
0.8023818363,0.6145230017,0.5906490039,0.9466026023,0.5730787877,0.2973105469,0.7559447888,0.8654985343,0.0268583835,0.9771115982
0.6323411818,-0.3558740472,0.3258407221,0.6750599627,0.662102244,0.2453349048,0.6680890116,0.3635054831,0.6061233208,0.2842208103
0.5877034738,0.2817792175,0.9534752749,0.3883168162,0.6383352005,0.5431862189,0.326627228,0.0130574064,0.7479936059,0.3283644423
0.0986962641,0.8804509591,0.3522144199,0.2107447726,0.2901008877,0.580585646,0.6104136676,0.4476188518,0.1551020752,0.2984692081
0.3966681432,0.8790632626,0.997382104,0.6705730008,0.3544309277,0.8122373874,0.5047205084,0.7734451041,0.7976986738,0.5910126393
0.6418106943,0.0773254473,0.1863030026,0.956977267,0.1776822758,0.7074093379,0.175766014,0.5642143332,0.4719766075,0.3751972564
0.1069904742,-0.5123892744,0.9048549259,0.0011101272,0.6347152726,0.7221535776,0.8473219556,0.5284574774,0.7028349264,0.0205063294
0.4194112222,-0.0276305923,0.0599224913,0.949527173,0.2996256056,0.4385118321,0.7710498149,0.8272732317,0.848241984,0.3895683961
0.7845591873,-0.219423358,0.3186516457,0.005467268,0.3947833201,0.7807645938,0.719679565,0.7759287767,0.494636833,0.8874227193
0.5433489851,0.4426142175,0.2202508587,0.7451909314,0.2316088936,0.814084004,0.8688891618,0.6750866792,0.8337770364,0.4614671956
0.0339519757,1.6207696095,0.9088112062,0.3384444914,0.8221566089,0.8284203763,0.7011786133,0.5873178766,0.6419480715,0.8395849158
0.3794554013,1.0750007128,0.5219663813,0.8383329599,0.9880809094,0.1361817543,0.3739288454,0.6792060011,0.3791538857,0.5547268597
0.7763695135,0.5433817948,0.3571144059,0.4365241871,0.865996511,0.29928626,0.0478620172,0.348975187,0.4841578146,0.8807866941
0.262999588,-0.0270785478,0.2472199795,0.2053525836,0.9658883503,0.3808726132,0.7455377582,0.3313467638,0.2730577697,0.6754464764
0.6999704377,0.3649948414,0.987431071,0.4107388087,0.0324475999,0.9492823778,0.811700693,0.4692127557,0.4763605044,0.0171512004
0.0067889549,0.3537502054,0.4321861428,0.1078206523,0.6104000386,0.6863558432,0.9529551153,0.1646266437,0.248949285,0.1577824857
0.6971428059,1.9032866727,0.3972082757,0.0133282715,0.6040335679,0.2726956845,0.7645634034,0.3032045085,0.8095711922,0.6157762061
0.9386986099,0.5638758111,0.9531999587,0.0138395833,0.9007485385,0.1217219372,0.0481833163,0.3605491532,0.2085612143,0.5379315255
0.3237408542,1.5165520205,0.8542171281,0.8884658976,0.2749914333,0.540814923,0.4603251153,0.3093589133,0.7387299043,0.3875414833
0.3201045962,0.997003045,0.2455623111,0.5304941778,0.5288427436,0.6162368959,0.4718599254,0.6991275263,0.7967215066,0.6632052614
0.9611627628,0.1850733593,0.7231524083,0.0984783727,0.6555992151,0.858544326,0.0302755226,0.8933918141,0.0385732897,0.4836849621
0.1798057033,0.0204903161,0.2988669397,0.9970238762,0.6653795682,0.770090778,0.6979765838,0.198545697,0.3367474246,0.3391073623
0.3483861282,0.3478861309,0.291465151,0.6916019388,0.5976261852,0.041219971,0.8490465698,0.5872640046,0.7257180527,0.461536387
0.9286488167,0.4140926863,0.8271772588,0.7406307716,0.2357036242,0.9746295456,0.4053167661,0.6379705836,0.3133028903,0.1247602456
0.2833748194,0.5033585176,0.5387239362,0.9127850791,0.2333301663,0.4842951284,0.2503957861,0.0449449521,0.6135872479,0.1967917218
0.6929535106,0.1724475482,0.6616922871,0.5198364261,0.517665073,0.4965198349,0.6081479845,0.8908830317,0.9758144614,0.0031227905
0.0179150807,0.1463572099,0.3077903052,0.4508760486,0.6083915692,0.6318065353,0.4997125674,0.7892536991,0.4998474068,0.2067086946
0.4803109589,1.1207943575,0.1969456445,0.9023351743,0.7993651158,0.7825170492,0.5479398858,0.3480289332,0.6765912618,3.81985504281923E-005
0.5238422459,0.9221976473,0.1112290036,0.8373545909,0.8843768288,0.5723441553,0.2440351646,0.0155682395,0.1841599215,0.2000179977
0.9453889573,0.0044203308,0.4564651505,0.9768065383,0.551738941,0.5290947136,0.2442272646,0.8633779353,0.5906051102,0.3437340258
0.8693231329,1.2022496291,0.2678489495,0.0653383873,0.0514616593,0.7085014787,0.4272758467,0.928867742,0.9532635563,0.0252132217
0.2976096698,0.0822687707,0.1756862104,0.0657167043,0.6623143205,0.0468374369,0.4193609379,0.5010083484,0.9659955257,0.1480621639
0.2795254555,1.2053102574,0.990406983,0.5627995411,0.6430364879,0.1904928952,0.9604800235,0.7683867192,0.2922953138,0.979872421
0.444206055,1.3123907847,0.4523985759,0.8764517276,0.4033341706,0.0990251376,0.6825782464,0.736436547,0.8939381307,0.5882445398
0.5754249579,0.8403615579,0.4177484346,0.5387719313,0.999407557,0.7879202497,0.3221419007,0.645248499,0.0430532099,0.7410610721
0.7140590147,0.6806962164,0.5398653361,0.6420055635,0.9590012353,0.876185171,0.907991931,0.7165196837,0.2723399194,0.1025296997
0.9870866596,0.3915670124,0.8375764989,0.211950121,0.5601692478,0.334810049,0.2953407038,0.6970653858,0.9544565255,0.9425869023
0.8983463261,1.0025426354,0.3848723295,0.303838473,0.0802738052,0.7056335209,0.3337826934,0.2047547201,0.5693165135,0.7979455414
0.363547114,0.42382121,0.6173327939,0.6417317607,0.5491500914,0.6394095055,0.5558513538,0.5420281854,0.9962438646,0.7614593909
0.0774969641,0.7515942984,0.5003505903,0.1754956889,0.1669230568,0.8123610638,0.1017477188,0.1337676004,0.7096046417,0.22985225
0.4810864956,0.5578297865,0.7411525543,0.5048215216,0.2804470786,0.4473314695,0.1531456577,0.1139638653,0.1380694714,0.2765142663
0.999969762,0.479702715,0.7459983924,0.9963299586,0.2690866898,0.2233663896,0.4436971051,0.407356675,0.8406291558,0.3454879568
0.0564978072,0.0006398308,0.6344772641,0.7165027306,0.3904069834,0.4081074031,0.6846877669,0.2778533766,0.7523381441,0.9605871044
0.1223114332,0.5755239853,0.9347699477,0.9935211383,0.9560774875,0.2231374147,0.0909142802,0.0970670318,0.456170471,0.1790045583
0.6638530139,1.2267365604,0.8917340932,0.8832266071,0.2730578585,0.0728023997,0.2791170308,0.0891260777,0.8657129686,0.48827121
0.8127754685,1.0755503856,0.830577428,0.8739816381,0.0986135602,0.5580126844,0.4625446087,0.2724995377,0.8263765304,0.9230933652
0.6347705076,1.0881383041,0.0567199852,0.1190250079,0.2531351572,0.373948964,0.2674042648,0.6745687578,0.1622117649,0.2492160829
0.4291001712,1.3833473775,0.8235808537,0.3752436113,0.5599358768,0.4893013418,0.8965141127,0.9030940177,0.5057733223,0.1092985689
0.1864674896,-0.6002210203,0.1432819365,0.2673057043,0.9123058058,0.2666761124,0.5400894033,0.8109116436,0.6967817101,0.1077739507
0.4503795142,0.47916361,0.0637879426,0.4686945283,0.8949749292,0.5254411142,0.4641892729,0.9487684582,0.4171119478,0.3157425686
0.1379649389,0.2605330457,0.6626621321,0.158641032,0.7516051096,0.8210969117,0.1505812014,0.3853598676,0.9444302832,0.7508306982
0.194976479,0.3012637636,-0.2851811191,0.8669087865,0.9312422578,0.7250740097,0.9994491987,0.4775652006,0.1638515097,0.0817038107
0.9966558766,0.2647451939,0.6117614747,0.1032594089,0.509257592,0.459913046,0.7223915901,0.9207085895,0.6519059132,0.8719755375
0.8006393405,0.5986199248,0.6241243119,0.7185829633,0.4794717544,0.9428817932,0.8665150728,0.242480399,0.8349876019,0.1280593571
0.5701493267,0.15159699,-0.77835353,0.1446355616,0.7161270557,0.867795354,0.2233710205,0.1092509553,0.4504696854,0.9432409705
